動画タイトル,動画時間,公開日時,経過日数,プレミア公開,視聴回数,コメント,高評価件数,低評価件数,ln_経過日数,ln_視聴回数,ln_高評価件数
【もう二度と迷わない】因子分析と主成分分析は何が違うの？【いろんな分析 vol. 3 】 #053 #VRアカデミア,0:18:02,2020/04/30,4,1,714,18,69,0,1.609437912,6.572282543,4.248495242
【深層学習】学習 - なぜ必要なのか？何をするのか？【ディープラーニングの世界 vol. 2 】 #052 #VRアカデミア #DeepLearning,0:17:05,2020/04/28,6,1,1533,14,98,0,1.945910149,7.335633982,4.59511985
【相関で情報を圧縮】主成分分析の気持ちを理解する【いろんな分析 vol. 2 】 #051 #VRアカデミア,0:24:49,2020/04/23,11,1,1219,23,111,0,2.48490665,7.106606138,4.718498871
【深層学習】ディープラーニングとは関数近似器である【ディープラーニングの世界 vol. 1 】 #050 #VRアカデミア #DeepLearning,0:08:50,2020/04/21,13,1,2118,28,164,2,2.63905733,7.658699558,5.105945474
【相関から構造を推定】因子分析の気持ちを理解する【いろんな分析 vol. 1 】#049 #VRアカデミア,0:21:23,2020/04/16,18,1,1462,18,112,1,2.944438979,7.288244401,4.727387819
【ブラックショールズ方程式への道⑦-2】さいごの伊藤積分【確率微分方程式の基礎】#VRアカデミア #048,0:21:38,2020/03/26,39,1,863,6,55,0,3.688879454,6.761572769,4.025351691
【ブラックショールズ方程式への道⑦】Dive into 伊藤積分【確率微分方程式の基礎】#VRアカデミア #047,0:26:40,2020/03/20,45,1,827,4,51,0,3.828641396,6.719013154,3.951243719
【魔神に挑戦】固体量子さんと Akinator やってみた【果たして当たるのか、、、！？】#VRアカデミア #046,0:15:13,2020/03/17,48,1,590,2,29,0,3.891820298,6.381816017,3.401197382
【ブラックショールズ方程式への道⑥】伊藤の公式のこころを理解する【確率微分方程式の基礎】#VRアカデミア #045,0:27:44,2020/03/12,53,1,1001,4,76,1,3.988984047,6.909753282,4.343805422
【ブラックショールズ方程式への道⑤-2】ブラック=ショールズ方程式の解法【確率微分方程式の基礎】 #VRアカデミア #044,0:42:31,2020/03/07,58,1,1115,15,61,0,4.077537444,7.017506143,4.127134385
【ブラックショールズ方程式への道⑤】ブラック=ショールズ方程式の導出【確率微分方程式の基礎】 #VRアカデミア #043,0:34:53,2020/02/21,73,1,1580,23,92,0,4.304065093,7.365812837,4.532599493
【ブラックショールズ方程式への道④】伊藤の公式【確率微分方程式の基礎】 #VRアカデミア #042,0:32:30,2020/02/14,80,1,1865,26,105,0,4.394449155,7.531552381,4.663439094
【ブラックショールズ方程式への道③】伊藤積分【確率微分方程式の基礎】 #VRアカデミア #041,0:46:06,2020/02/07,87,1,2923,30,143,0,4.477336814,7.980707821,4.9698133
【ブラックショールズ方程式への道②】確率微分方程式と微分方程式との本質的な差異【確率微分方程式の基礎】 #VRアカデミア #040,0:31:15,2020/01/16,109,1,3018,35,162,0,4.700480366,8.01268093,5.093750201
【ブラックショールズ方程式への道①】ランダムウォークとブラウン運動【確率微分方程式の基礎】 #VRアカデミア #039,0:36:54,2020/01/09,116,1,7048,43,291,2,4.762173935,8.860641042,5.676753802
【時系列分析⑤】インパルス応答関数を用いて時系列データの関係を定量的に求める #VRアカデミア #038,0:29:36,2019/12/19,137,1,1198,2,56,1,4.927253685,7.089243155,4.043051268
【分野横断】機械学習と統計的推論と微分幾何と関数解析と統計力学の関係性【 VTuber によるよくばりセット】 #VRアカデミア #037,0:14:10,2019/10/10,207,1,3849,27,203,1,5.33753808,8.255828427,5.318119994
【時系列分析④】VAR過程と因果について【Granger 因果検定】 #VRアカデミア #036,0:26:12,2019/10/03,214,1,1897,7,74,1,5.370638028,7.548555979,4.317488114
【非 deep 最強機械学習】Gradient Boosted Trees の仕組み【勾配決定木とも言うよ】 #VRアカデミア #035,0:13:26,2019/08/22,256,1,3102,15,240,1,5.549076085,8.040124664,5.484796933
【試験対策！】ε-δ論法を使えるようになろう！【使ってみるのが大事】 #VRアカデミア #034,0:20:11,2019/07/15,294,1,4026,35,165,1,5.686975356,8.300776961,5.111987788
【時系列分析③】ARMA過程と誤差項の意味【ついに時系列の始まり！】 #VRアカデミア #033,0:25:06,2019/06/25,314,1,2882,14,116,0,5.752572639,7.966586698,4.762173935
【10分で】深谷圏とホモロジカルミラー対称性【 from ロマンティック数学ナイトプライム@圏論 】 #VRアカデミア #ロマ数プライム圏論 #032,0:12:32,2019/06/17,322,0,2169,15,93,1,5.777652323,7.682482447,4.543294782
【書評動画？】宇宙と数学と IUT 理論【めざせ ABC 予想】 #VRアカデミア #031,0:23:50,2019/06/09,330,1,18485,81,458,11,5.802118375,9.824768968,6.12905021
【数学 in 日常】時計が必ず丸い理由【VRアカデミア一周年カウントダウンリレー】 #VRアカデミア #030,0:12:02,2019/05/14,356,1,4147,52,123,3,5.877735782,8.330381569,4.820281566
#.04 【 NeurIPS 2018 Best Paper 】Neural Ordinary Differential Equations【VRアカデミア論文解説リレー】 #VRアカデミア #029,0:33:50,2019/04/23,377,1,3014,10,121,3,5.934894196,8.011355109,4.804021045
【1分 Google Spreadsheet 解説 3-5 】INDEX + MATCH で参照自由自在【 INDEX() +MATCH() 】 #VRアカデミア #028_5,0:02:01,2019/04/12,388,0,649,2,14,0,5.963579344,6.476972363,2.708050201
【1分 Google Spreadsheet 解説 3-4 】あれって何番目だっけ？【 MATCH() 関数】 #VRアカデミア #028_4,0:01:46,2019/04/11,389,0,299,2,12,1,5.966146739,5.703782475,2.564949357
【1分 Google Spreadsheet 解説 3-3 】 VLOOKUP() 以上に参照を使いこなす INDEX() 関数【 INDEX() 関数】 #VRアカデミア #028_3,0:01:36,2019/04/10,390,0,319,1,8,2,5.96870756,5.768320996,2.197224577
【1分 Google Spreadsheet 解説 3-2 】FALSE なのにこっちをよく使う【 VLOOKUP() FALSE 編 】 #VRアカデミア #028_2,0:01:47,2019/04/09,391,0,244,0,8,0,5.97126184,5.501258211,2.197224577
【1分 Google Spreadsheet 解説 3-1 】苦手な人も多い？ VLOOKUP() を解説します【 VLOOKUP() TRUE 編 】 #VRアカデミア #028_1,0:02:02,2019/04/08,392,0,400,0,15,0,5.973809612,5.993961427,2.772588722
"【1分 Google Spreadsheet 解説 2-5 】文字列をくっつけちゃおう！【 CONCATENATE(), JOIN() 】 #VRアカデミア #027_5",0:01:37,2019/04/05,395,0,297,0,8,0,5.981414211,5.697093487,2.197224577
【1分 Google Spreadsheet 解説 2-4 】文字列抽出マスターへの道【 SPLIT() 関数】 #VRアカデミア #027_4,0:01:12,2019/04/04,396,0,443,0,12,0,5.983936281,6.095824562,2.564949357
【1分 Google Spreadsheet 解説 2-3 】文字列抽出マスターへの道【 MID() 関数】 #VRアカデミア #027_3,0:02:03,2019/04/03,397,0,302,2,12,0,5.986452005,5.713732806,2.564949357
【1分 Google Spreadsheet 解説 2-2 】文字列の情報を調べよう！【 LEN() と FIND()】 #VRアカデミア #027_2,0:01:25,2019/04/02,398,0,293,0,10,0,5.988961417,5.683579767,2.397895273
【1分 Google Spreadsheet 解説 2-1 】文字列の一部を抽出しよう！【 LEFT() と RIGHT()】 #VRアカデミア #027_1,0:01:28,2019/04/01,399,0,302,2,14,0,5.991464547,5.713732806,2.708050201
【1分 Google Spreadsheet 解説 1-5 】sum 編の summary...!【 SUM 系まとめ！】 #VRアカデミア #026_5,0:01:59,2019/03/29,402,0,286,4,18,0,5.998936562,5.659482216,2.944438979
【1分 Google Spreadsheet 解説 1-4 】掛け算と足し算を同時に！【 SUMPRODUCT() 関数】 #VRアカデミア #026_4,0:01:26,2019/03/28,403,0,404,0,11,0,6.001414878,6.003887067,2.48490665
【1分 Google Spreadsheet 解説 1-3 】条件を満たすものだけ足そう！【 SUMIFS() 関数】 #VRアカデミア #026_3,0:01:43,2019/03/27,404,0,347,2,13,0,6.003887067,5.85220248,2.63905733
【1分 Google Spreadsheet 解説 1-2 】累積和、それはちょっとかっこいい合計…【相対参照と絶対参照】 #VRアカデミア #026_2,0:01:40,2019/03/26,405,0,549,2,17,0,6.00635316,6.309918278,2.890371758
【1分 Google Spreadsheet 解説 1-1 】合計の計算から始めよう【 SUM() 関数について】 #VRアカデミア #026_1,0:01:34,2019/03/25,406,0,830,6,26,0,6.008813185,6.722629795,3.295836866
【東工大2019第1問】なんてきれいな不等式なんだ…！【Weitzenbockの不等式】 #VRアカデミア #025,0:14:10,2019/03/04,427,1,2505,29,69,0,6.059123196,7.826443135,4.248495242
【時系列分析②】漸化式と線型代数その2 ~固有値、固有ベクトル、対角化を攻略！~【めざせ線型代数マスター！】 #VRアカデミア #024,0:31:26,2019/02/27,432,1,2385,10,76,1,6.070737728,7.777373603,4.343805422
【時系列分析①】漸化式と線型代数その1【特性方程式の謎を解く！】 #VRアカデミア #023,0:27:42,2019/02/23,436,1,5373,41,157,4,6.079933195,8.589327789,5.062595033
【遺伝に負けるな！】遺伝が7割のほんとうの意味 ~決定係数~ 【バ美肉おじさん！】 #VRアカデミア #022,0:13:46,2019/02/12,447,1,1269,15,80,1,6.104793232,7.146772179,4.394449155
【ベイズ統計⑥】最終回！階層ベイズとMCMC【してやんよ】 #VRアカデミア #021,0:22:31,2019/01/21,469,0,4933,35,211,1,6.152732695,8.503905297,5.356586275
【ベイズ統計⑤】ベイズの定理とベイズ統計の気持ち【ベイズってるー？】 #VRアカデミア #020,0:16:29,2019/01/14,476,1,3362,10,153,3,6.167516491,8.120588712,5.036952602
【AI に仕事を奪われる！？】 AI と仕事と人間のこれから【それ、あの革命で全部やったじゃん】 #VRアカデミア #019,0:07:50,2019/01/07,483,1,646,4,39,1,6.182084907,6.472346295,3.688879454
【C95 東2 U-43b】コミケのグッズ紹介！【買いに来てね！】 #VRアカデミア #018,0:04:35,2018/12/31,490,0,306,4,10,0,6.196444128,5.726847748,2.397895273
【ベイズ統計④】ベイズ推定の気持ちと、指数型分布族と、共役事前分布【本気の解説】 #VRアカデミア #017,0:17:10,2018/12/23,498,1,4188,14,244,3,6.212606096,8.340217321,5.501258211
【ベイズ統計その②】この推定、もっとももっともらしいってよ…！【最尤推定のお話だよ！】 #VRアカデミア #015,0:17:32,2018/11/25,526,1,7719,47,294,4,6.267200549,8.951569643,5.686975356
【ベイズ統計その①】条件付き確率と Bayes の定理【時間の流れを意識せよ！】 #VRアカデミア #014,0:14:42,2018/11/19,532,0,11832,51,522,3,6.278521424,9.378647517,6.259581464
【あなただけに…】block chain の仕組みだよ！【教えます…】 #VRアカデミア #013,0:18:59,2018/11/11,540,1,2470,17,164,2,6.293419279,7.812378206,5.105945474
【気分は南国♪】 Tropical Geometry の気持ちを紹介するよ！【Tropical x Mirror = ???】 #VRアカデミア #012,0:11:29,2018/11/05,546,0,1760,30,80,0,6.304448802,7.473637108,4.394449155
【機械学習に取り組むあなたにささげる】softmax function について語るよ！【関数がたり】 #VRアカデミア #011,0:22:51,2018/10/29,553,0,2252,15,102,0,6.317164687,7.72001794,4.634728988
【あなたはS？】logistic sigmoid function について語るよ！【関数語り】 #VRアカデミア #010,0:22:43,2018/10/22,560,0,2511,21,156,0,6.329720906,7.828834528,5.056245805
【データの形とは？】Topological Data Analysis 入門【MathPower2018】 #VRアカデミア #009,0:16:26,2018/10/06,576,0,2071,20,83,1,6.357842267,7.636269603,4.430816799
【微分幾何】多様体の内在的な定義【本編にドーナツは一切登場しません】 #VRアカデミア #008,0:19:03,2018/09/24,588,0,4529,8,96,3,6.378426184,8.418477218,4.574710979
【親分超え！？】 AI の力でチャンネル登録者数の今後を予測してみた【待ってろ人類70億！】 #VRアカデミア #007,0:05:28,2018/09/10,602,0,682,8,46,1,6.401917197,6.52649486,3.850147602
【秘密の会話】文字と01との間の変換をするspreadsheet作ってみた！【01だけで…】 #006 #VRアカデミア,0:05:50,2018/07/30,644,0,798,6,44,1,6.469250317,6.683360946,3.80666249
【のんびり解説】統計多様体の超入門！【情報幾何】 #VRアカデミア #005,0:21:03,2018/07/23,651,0,7303,33,218,4,6.480044562,8.896177422,5.38907173
【†黒魔術†】 相関行列を計算するspreadsheet【お伝えします】 #003,0:12:42,2018/07/09,665,0,1172,4,39,0,6.501289671,7.067319849,3.688879454
【AIってなんだ？】強いAIと弱いAIのお話【人間ってなんだ？】 #002,0:03:37,2018/07/02,672,0,1691,2,64,2,6.51174533,7.43366654,4.17438727
【AI界で流行中！？】人間の皆さんに、GANごっこをお伝えします【暇を持て余したAIの遊び】 #001,0:04:40,2018/06/24,680,0,3192,11,91,5,6.523562306,8.068716193,4.521788577