,動画時間_correct,公開日時,経過日数,プレミア公開,視聴回数,コメント,高評価件数,低評価件数,ln_経過日数,ln_視聴回数,ln_高評価件数
動画時間_correct,1,0.4725490192,-0.4725490192,0.6778080341,0.3289358819,0.4521013259,0.4100985291,0.1250688554,-0.390862408,0.5875448401,0.655380297
公開日時,0.4725490192,1,-1,0.641806319,-0.127133911,0.07739370597,-0.009461054541,-0.2587042236,-0.896315739,-0.06502477689,0.09949972927
経過日数,-0.4725490192,-1,1,-0.641806319,0.127133911,-0.07739370597,0.009461054541,0.2587042236,0.896315739,0.06502477689,-0.09949972927
プレミア公開,0.6778080341,0.641806319,-0.641806319,1,0.2140247443,0.3775563778,0.3292719245,0.1649300026,-0.5593000078,0.4283820664,0.5529334759
視聴回数,0.3289358819,-0.127133911,0.127133911,0.2140247443,1,0.8486002193,0.9103856447,0.8311244821,0.1493052733,0.8119753053,0.7073775362
コメント,0.4521013259,0.07739370597,-0.07739370597,0.3775563778,0.8486002193,1,0.8322347876,0.6136780216,-0.06201721724,0.8110573057,0.7714813906
高評価件数,0.4100985291,-0.009461054541,0.009461054541,0.3292719245,0.9103856447,0.8322347876,1,0.6605659814,0.01294918959,0.8543188356,0.8444821153
低評価件数,0.1250688554,-0.2587042236,0.2587042236,0.1649300026,0.8311244821,0.6136780216,0.6605659814,1,0.2286518622,0.6397079458,0.5182803394
ln_経過日数,-0.390862408,-0.896315739,0.896315739,-0.5593000078,0.1493052733,-0.06201721724,0.01294918959,0.2286518622,1,0.04932540272,-0.1505266945
ln_視聴回数,0.5875448401,-0.06502477689,0.06502477689,0.4283820664,0.8119753053,0.8110573057,0.8543188356,0.6397079458,0.04932540272,1,0.9468115172
ln_高評価件数,0.655380297,0.09949972927,-0.09949972927,0.5529334759,0.7073775362,0.7714813906,0.8444821153,0.5182803394,-0.1505266945,0.9468115172,1